,ta,tw
1996-08-27,12.871,13.56
1996-08-28,15.963,12.36
1996-08-29,15.167,12.39
1996-08-30,14.892,14.24
1996-08-31,19.121,14.37
1996-09-01,19.479,15.08
1996-09-02,19.117,14.55
1996-09-03,19.713,15.98
1996-09-04,17.6,16.41
1996-09-05,15.758,15.89
1996-09-06,19.392,16.63
1996-09-07,20.608,17.69
1996-09-08,16.833,17.59
1996-09-09,14.213,15.24
1996-09-10,15.129,15.65
1996-09-11,15.688,15.27
1996-09-12,10.842,14.8
1996-09-13,8.025,11.61
1996-09-14,8.729,11.61
1996-09-15,9.146,11.61
1996-09-16,9.463,10.65
1996-09-17,8.875,11.16
1996-09-18,9.754,11.31
1996-09-19,12.087,12.26
1996-09-20,12.558,11.5
1996-09-21,13.175,11.5
1996-09-22,11.146,11.5
1996-09-23,10.762,11.44
1996-09-24,9.304,11.66
1996-09-25,10.263,10.92
1996-09-26,11.196,10.92
1996-09-27,11.174,10.92
1996-09-28,10.271,10.83
1996-09-29,8.404,10.05
1996-09-30,7.975,10.15
1996-10-01,11.246,10.18
1996-10-02,8.138,10.19
1996-10-03,5.465,8.86
1996-10-04,6.839,9.07
1996-10-05,9.113,9.07
1996-10-06,10.412,9.08
1996-10-07,4.23,8.96
1996-10-08,3.275,8.42
1996-10-09,5.329,8.42
1996-10-10,1.721,8.63
1996-10-11,5.586,7.45
1996-10-12,8.792,8.1
1996-10-13,10.0,8.22
1996-10-14,4.868,7.83
1996-10-15,6.871,7.5
1996-10-16,12.421,8.39
1996-10-17,9.737,8.32
1996-10-18,6.467,8.32
1996-10-19,5.325,7.92
1996-10-20,5.683,7.36
1996-10-21,7.965,5.99
1996-10-22,8.25,5.99
1996-10-23,7.217,5.99
1996-10-24,6.096,5.99
1996-10-25,5.952,6.08
1996-10-26,8.658,7.29
1996-10-27,10.279,7.33
1996-10-28,6.583,7.22
1996-10-29,6.95,7.19
1996-10-30,4.679,7.19
1996-10-31,-2.809,7.19
1996-11-01,-1.092,7.19
1996-11-02,-1.617,7.19
1996-11-03,1.871,7.19
1996-11-04,5.35,5.44
1996-11-05,4.883,5.44
1996-11-06,6.3,5.44
1996-11-07,6.178,5.35
1996-11-08,3.67,5.37
1996-11-09,-0.267,5.37
1996-11-10,-1.848,5.37
1996-11-11,-3.833,5.37
1996-11-12,-5.55,5.37
1996-11-13,-5.617,5.37
1996-11-14,-6.054,5.31
1996-11-15,-1.683,5.31
1996-11-16,4.388,5.31
1996-11-17,6.646,5.31
1996-11-18,-1.808,5.31
1996-11-19,-3.671,5.13
1996-11-20,-3.437,5.13
1996-11-21,-2.908,5.13
1996-11-22,-0.633,5.13
1996-11-23,-4.513,5.13
1996-11-24,-3.079,5.13
1996-11-25,-3.217,5.04
1996-11-26,-5.4,5.0
1996-11-27,-3.154,5.0
1996-11-28,-2.538,4.87
1996-11-29,1.474,4.87
1996-11-30,4.0,4.87
1996-12-01,1.558,4.87
1996-12-02,-0.843,4.86
1996-12-03,-1.867,4.86
1996-12-04,-2.362,4.86
1996-12-05,-0.196,4.86
1996-12-06,1.088,4.87
1996-12-07,0.308,4.87
1996-12-08,-0.067,4.87
1996-12-09,-2.217,4.87
1996-12-10,-0.833,4.87
1996-12-11,-1.608,4.69
1996-12-12,-0.892,4.69
1996-12-13,0.735,4.69
1996-12-14,-0.542,4.69
1996-12-15,1.439,4.69
1996-12-16,-0.971,4.69
1996-12-17,-0.637,4.69
1996-12-18,-2.804,4.69
1996-12-19,-5.913,4.69
1996-12-20,-6.662,4.54
1996-12-21,-5.109,4.54
1996-12-22,-5.883,4.54
1996-12-23,-5.926,4.54
1996-12-24,-8.6,4.54
1996-12-25,-12.574,4.54
1996-12-26,-11.479,4.31
1996-12-27,-9.242,4.31
1996-12-28,-3.767,4.31
1996-12-29,-7.312,4.31
1996-12-30,-10.171,4.31
1996-12-31,-8.254,4.31
1997-01-01,-1.896,4.31
1997-01-02,0.221,4.31
1997-01-03,1.491,4.31
1997-01-04,-1.971,4.31
1997-01-05,-4.143,4.31
1997-01-06,-7.709,4.31
1997-01-07,-8.529,4.32
1997-01-08,-6.07,4.09
1997-01-09,-3.065,4.09
1997-01-10,-6.4,4.09
1997-01-11,-10.5,4.09
1997-01-12,-8.662,4.09
1997-01-13,-6.4,4.09
1997-01-14,-5.287,1.32
1997-01-15,-4.804,1.36
1997-01-16,-14.046,1.36
1997-01-17,-15.604,1.36
1997-01-18,-13.529,1.36
1997-01-19,-7.138,1.36
1997-01-20,-3.621,1.19
1997-01-21,-3.004,1.2
1997-01-22,-2.333,1.2
1997-01-23,-12.717,1.2
1997-01-24,-5.938,1.2
1997-01-25,-8.833,1.2
1997-01-26,-13.433,1.2
1997-01-27,-8.825,1.2
1997-01-28,-11.308,1.2
1997-01-29,-14.217,1.2
1997-01-30,-7.554,1.2
1997-01-31,-4.814,1.2
1997-02-01,-2.408,1.2
1997-02-02,-2.062,1.2
1997-02-03,-4.633,1.2
1997-02-04,-2.096,1.2
1997-02-05,-2.988,1.2
1997-02-06,-3.288,1.2
1997-02-07,-5.583,1.04
1997-02-08,-7.026,0.29
1997-02-09,-3.817,0.82
1997-02-10,-2.779,0.82
1997-02-11,-4.787,0.82
1997-02-12,-10.067,0.82
1997-02-13,-8.475,0.82
1997-02-14,-3.954,0.82
1997-02-15,-9.379,0.82
1997-02-16,-11.342,0.82
1997-02-17,-7.117,0.82
1997-02-18,1.35,0.82
1997-02-19,-6.435,0.82
1997-02-20,-2.267,0.82
1997-02-21,-1.817,0.82
1997-02-22,-11.25,0.82
1997-02-23,-10.0,0.82
1997-02-24,-13.304,0.82
1997-02-25,-5.487,0.82
1997-02-26,1.029,0.82
1997-02-27,-6.221,0.82
1997-02-28,-3.967,0.82
1997-03-01,0.3,0.82
1997-03-02,-3.083,0.82
1997-03-03,-4.346,0.82
1997-03-04,-2.042,0.82
1997-03-05,-2.587,0.82
1997-03-06,-6.929,0.82
1997-03-07,-7.978,0.82
1997-03-08,-6.208,0.72
1997-03-09,-1.729,0.72
1997-03-10,-2.739,0.72
1997-03-11,-3.083,0.72
1997-03-12,-7.483,0.65
1997-03-13,-7.092,0.65
1997-03-14,-6.896,0.65
1997-03-15,-11.4,0.65
1997-03-16,-8.975,0.66
1997-03-17,-3.533,0.66
1997-03-18,-3.846,0.66
1997-03-19,-2.246,0.66
1997-03-20,-1.246,0.66
1997-03-21,-1.511,0.66
1997-03-22,-5.16,0.66
1997-03-23,-5.761,0.66
1997-03-24,-3.417,0.66
1997-03-25,-1.0,0.66
1997-03-26,0.275,0.65
1997-03-27,4.204,0.48
1997-03-28,2.562,0.49
1997-03-29,-1.362,0.49
1997-03-30,-5.45,0.49
1997-03-31,-2.254,0.42
1997-04-01,1.858,0.4
1997-04-02,7.57,0.39
1997-04-03,4.454,0.26
1997-04-04,2.438,0.48
1997-04-05,4.475,0.48
1997-04-06,4.75,0.48
1997-04-07,-5.442,0.48
1997-04-08,-8.242,0.48
1997-04-09,-5.492,0.11
1997-04-10,-2.167,0.3
1997-04-11,-0.729,0.46
1997-04-12,-0.933,0.14
1997-04-13,0.167,0.17
1997-04-14,1.075,0.11
1997-04-15,3.939,0.36
1997-04-16,-1.358,0.36
1997-04-17,-1.737,0.29
1997-04-18,-0.246,0.29
1997-04-19,0.775,0.57
1997-04-20,2.204,0.59
1997-04-21,1.8,0.49
1997-04-22,1.575,0.54
1997-04-23,2.133,0.36
1997-04-24,2.458,0.25
1997-04-25,2.825,0.34
1997-04-26,7.254,0.56
1997-04-27,7.974,0.56
1997-04-28,2.658,0.79
1997-04-29,6.279,0.43
1997-04-30,2.071,0.43
1997-05-01,2.387,0.71
1997-05-02,5.078,1.14
1997-05-03,3.429,0.59
1997-05-04,4.826,0.49
1997-05-05,7.991,0.5
1997-05-06,3.545,1.21
1997-05-07,7.329,0.89
1997-05-08,7.067,0.89
1997-05-09,2.987,0.9
1997-05-10,3.025,1.14
1997-05-11,5.892,1.14
1997-05-12,2.179,1.14
1997-05-13,1.683,1.14
1997-05-14,0.904,1.14
1997-05-15,1.539,1.14
1997-05-16,2.396,1.37
1997-05-17,1.508,1.42
1997-05-18,3.778,1.42
1997-05-19,2.661,1.4
1997-05-20,3.504,1.43
1997-05-21,3.379,1.71
1997-05-22,3.896,1.72
1997-05-23,6.375,1.73
1997-05-24,7.346,1.73
1997-05-25,3.825,1.95
1997-05-26,5.954,1.78
1997-05-27,8.041,1.98
1997-05-28,9.779,1.99
1997-05-29,8.992,1.99
1997-05-30,5.6,2.42
1997-05-31,9.926,2.66
1997-06-01,15.25,2.51
1997-06-02,17.333,2.94
1997-06-03,14.129,2.94
1997-06-04,12.829,2.94
1997-06-05,13.165,3.76
1997-06-06,11.355,3.76
1997-06-07,6.345,3.22
1997-06-08,11.767,3.65
1997-06-09,13.175,3.08
1997-06-10,18.362,3.54
1997-06-11,17.721,3.53
1997-06-12,15.246,4.76
1997-06-13,7.962,3.38
1997-06-14,9.625,3.7
1997-06-15,10.708,3.78
1997-06-16,9.438,3.67
1997-06-17,11.067,3.72
1997-06-18,7.782,4.19
1997-06-19,8.125,4.19
1997-06-20,12.45,4.23
1997-06-21,12.85,4.26
1997-06-22,14.588,5.06
1997-06-23,13.087,5.07
1997-06-24,13.125,5.07
1997-06-25,15.083,4.08
1997-06-26,14.225,4.33
1997-06-27,19.937,4.8
1997-06-28,21.048,4.92
1997-06-29,16.575,4.92
1997-06-30,10.175,4.92
1997-07-01,9.233,4.92
1997-07-02,9.108,4.92
1997-07-03,7.879,4.91
1997-07-04,10.421,4.81
1997-07-05,15.562,4.74
1997-07-06,8.858,4.74
1997-07-07,9.604,4.8
1997-07-08,11.033,5.46
1997-07-09,11.096,6.48
1997-07-10,12.192,6.74
1997-07-11,16.338,7.63
1997-07-12,20.008,8.25
1997-07-13,21.767,9.03
1997-07-14,17.05,9.05
1997-07-15,17.025,7.67
1997-07-16,18.774,8.35
1997-07-17,15.017,8.45
1997-07-18,15.087,8.67
1997-07-19,11.865,9.16
1997-07-20,11.754,9.17
1997-07-21,9.871,8.27
1997-07-22,11.7,9.52
1997-07-23,13.713,10.49
1997-07-24,17.326,12.14
1997-07-25,19.6,12.1
1997-07-26,14.354,12.12
1997-07-27,16.517,12.39
1997-07-28,15.404,11.33
1997-07-29,14.792,11.94
1997-07-30,17.665,11.44
1997-07-31,19.75,10.84
1997-08-01,18.846,10.69
1997-08-02,16.758,11.72
1997-08-03,11.654,13.0
1997-08-04,12.592,12.29
1997-08-05,14.917,11.76
1997-08-06,17.095,13.03
1997-08-07,20.118,14.06
1997-08-08,21.067,13.67
1997-08-09,19.183,12.97
1997-08-10,15.337,12.58
1997-08-11,12.222,13.68
1997-08-12,14.165,13.65
1997-08-13,13.962,12.76
1997-08-14,15.467,12.6
1997-08-15,15.837,12.6
1997-08-16,12.3,12.62
1997-08-17,11.875,13.24
1997-08-18,13.7,14.16
1997-08-19,13.308,13.39
1997-08-20,13.642,13.39
1997-08-21,12.662,13.39
1997-08-22,13.533,13.42
1997-08-23,15.621,13.65
1997-08-24,14.95,15.67
1997-08-25,15.725,14.33
1997-08-26,17.243,15.42
1997-08-27,18.312,15.11
1997-08-28,14.338,14.12
1997-08-29,13.817,14.1
1997-08-30,14.446,14.14
1997-08-31,15.688,16.21
1997-09-01,18.562,16.21
1997-09-02,13.954,14.31
1997-09-03,11.704,14.55
1997-09-04,13.496,14.25
1997-09-05,14.967,13.72
1997-09-06,15.887,14.12
1997-09-07,12.654,14.05
1997-09-08,13.687,14.05
1997-09-09,14.692,14.66
1997-09-10,12.837,14.48
1997-09-11,13.575,15.03
1997-09-12,14.296,15.31
1997-09-13,15.312,14.12
1997-09-14,17.617,15.37
1997-09-15,16.204,15.23
1997-09-16,13.5,13.86
1997-09-17,16.404,14.09
1997-09-18,17.071,14.09
1997-09-19,14.092,14.09
1997-09-20,10.713,14.1
1997-09-21,12.008,13.41
1997-09-22,14.0,12.67
1997-09-23,10.27,13.16
1997-09-24,12.746,11.0
1997-09-25,13.883,11.6
1997-09-26,11.965,11.67
1997-09-27,14.209,11.67
1997-09-28,14.496,11.66
1997-09-29,14.008,11.66
1997-09-30,9.746,11.51
1997-10-01,6.329,9.74
1997-10-02,11.438,10.27
1997-10-03,12.071,10.16
1997-10-04,14.733,10.02
1997-10-05,14.825,9.91
1997-10-06,14.879,9.91
1997-10-07,11.821,10.14
1997-10-08,15.217,10.14
1997-10-09,15.679,9.78
1997-10-10,8.125,9.19
1997-10-11,10.867,8.84
1997-10-12,14.308,8.84
1997-10-13,13.779,8.84
1997-10-14,6.104,8.26
1997-10-15,7.048,8.26
1997-10-16,7.292,8.19
1997-10-17,9.067,7.4
1997-10-18,11.7,7.5
1997-10-19,10.562,7.5
1997-10-20,3.421,7.56
1997-10-21,1.675,7.56
1997-10-22,-0.163,7.56
1997-10-23,-0.125,7.56
1997-10-24,0.896,7.56
1997-10-25,1.065,7.56
1997-10-26,-0.146,7.56
1997-10-27,-1.338,7.55
1997-10-28,3.767,7.44
1997-10-29,6.3,6.67
1997-10-30,5.737,6.67
1997-10-31,7.371,6.67
1997-11-01,8.867,6.67
1997-11-02,5.161,6.67
1997-11-03,3.887,6.67
1997-11-04,0.626,6.67
1997-11-05,1.417,6.67
1997-11-06,1.913,6.67
1997-11-07,4.074,6.63
1997-11-08,4.629,6.57
1997-11-09,3.033,6.57
1997-11-10,0.361,6.57
1997-11-11,-1.792,6.57
1997-11-12,-2.825,6.51
1997-11-13,-1.178,6.51
1997-11-14,0.433,6.51
1997-11-15,-2.987,6.51
1997-11-16,-0.642,6.51
1997-11-17,-0.138,6.36
1997-11-18,1.183,6.36
1997-11-19,-1.15,6.36
1997-11-20,-1.15,6.36
1997-11-21,-3.696,6.21
1997-11-22,-0.733,6.21
1997-11-23,-3.25,6.18
1997-11-24,-4.479,6.14
1997-11-25,2.483,3.57
1997-11-26,4.121,3.8
1997-11-27,3.388,4.03
1997-11-28,3.888,4.01
1997-11-29,1.975,4.01
1997-11-30,2.445,4.01
1997-12-01,-1.004,4.01
1997-12-02,-1.6,4.01
1997-12-03,0.7,4.01
1997-12-04,-0.7,4.01
1997-12-05,-2.121,4.01
1997-12-06,0.433,4.01
1997-12-07,0.938,3.98
1997-12-08,1.438,3.98
1997-12-09,1.317,3.98
1997-12-10,1.729,3.98
1997-12-11,-0.558,3.98
1997-12-12,-0.604,3.98
1997-12-13,1.629,4.03
1997-12-14,0.233,3.84
1997-12-15,4.963,3.86
1997-12-16,5.221,3.97
1997-12-17,1.965,3.88
1997-12-18,3.754,3.91
1997-12-19,1.758,3.91
1997-12-20,-3.325,3.89
1997-12-21,-1.392,3.5
1997-12-22,-0.104,3.5
1997-12-23,-0.321,3.51
1997-12-24,0.917,3.32
1997-12-25,0.721,3.32
1997-12-26,-0.446,3.32
1997-12-27,-7.242,3.32
1997-12-28,-2.579,3.32
1997-12-29,-4.192,3.32
1997-12-30,-8.021,3.33
1997-12-31,-10.663,3.33
1998-01-01,-4.75,3.33
1998-01-02,0.638,3.33
1998-01-03,-0.163,3.24
1998-01-04,-7.754,3.11
1998-01-05,-2.742,3.11
1998-01-06,-2.879,3.11
1998-01-07,-2.787,2.96
1998-01-08,-3.348,2.96
1998-01-09,-3.075,2.96
1998-01-10,-8.829,2.96
1998-01-11,-10.729,2.96
1998-01-12,-8.096,2.96
1998-01-13,-12.422,2.96
1998-01-14,-9.217,2.96
1998-01-15,-5.287,2.84
1998-01-16,-4.612,2.84
1998-01-17,-3.225,2.84
1998-01-18,-1.85,2.84
1998-01-19,-5.083,2.84
1998-01-20,-5.883,2.7
1998-01-21,-4.2,2.6
1998-01-22,-5.313,1.24
1998-01-23,-4.508,1.25
1998-01-24,-3.091,1.23
1998-01-25,-5.8,1.23
1998-01-26,-7.413,1.23
1998-01-27,-2.475,1.23
1998-01-28,-1.246,1.23
1998-01-29,-0.871,1.23
1998-01-30,-1.07,1.18
1998-01-31,1.0,1.18
1998-02-01,0.95,1.18
1998-02-02,-4.229,1.18
1998-02-03,-6.552,1.18
1998-02-04,-2.683,1.6
1998-02-05,-1.308,1.61
1998-02-06,0.129,1.64
1998-02-07,-0.288,1.64
1998-02-08,-0.775,0.88
1998-02-09,1.083,0.89
1998-02-10,0.529,0.89
1998-02-11,0.937,0.89
1998-02-12,-1.529,0.91
1998-02-13,-6.75,0.91
1998-02-14,-5.196,0.92
1998-02-15,1.367,0.92
1998-02-16,3.067,0.92
1998-02-17,3.012,1.17
1998-02-18,2.475,1.16
1998-02-19,1.408,1.16
1998-02-20,-0.604,1.16
1998-02-21,0.333,1.16
1998-02-22,1.235,1.16
1998-02-23,1.938,1.59
1998-02-24,2.454,1.53
1998-02-25,2.279,1.36
1998-02-26,2.533,1.36
1998-02-27,3.3,1.36
1998-02-28,2.4,0.99
1998-03-01,2.639,1.06
1998-03-02,-0.104,1.06
1998-03-03,-3.691,1.07
1998-03-04,-3.033,1.07
1998-03-05,-2.278,1.92
1998-03-06,-2.368,1.21
1998-03-07,0.033,0.89
1998-03-08,0.537,0.92
1998-03-09,-4.913,0.95
1998-03-10,-11.35,0.95
1998-03-11,-9.55,0.97
1998-03-12,-4.75,1.42
1998-03-13,-4.37,1.42
1998-03-14,-4.492,1.48
1998-03-15,-7.654,0.94
1998-03-16,-5.008,0.87
1998-03-17,-1.533,1.34
1998-03-18,0.304,1.34
1998-03-19,-2.004,0.99
1998-03-20,-1.513,1.03
1998-03-21,0.183,1.26
1998-03-22,-1.617,1.67
1998-03-23,-0.046,1.39
1998-03-24,-0.226,1.34
1998-03-25,2.259,1.27
1998-03-26,5.587,1.27
1998-03-27,6.004,1.28
1998-03-28,6.738,1.24
1998-03-29,5.621,1.26
1998-03-30,3.375,1.27
1998-03-31,4.1,1.27
1998-04-01,2.833,1.27
1998-04-02,1.85,1.27
1998-04-03,2.267,1.3
1998-04-04,2.763,1.51
1998-04-05,2.267,1.44
1998-04-06,2.621,1.5
1998-04-07,4.148,1.51
1998-04-08,3.374,1.39
1998-04-09,3.229,1.74
1998-04-10,3.129,1.43
1998-04-11,3.983,1.49
1998-04-12,7.488,1.5
1998-04-13,9.658,1.48
1998-04-14,6.579,1.48
1998-04-15,1.233,1.47
1998-04-16,1.192,1.5
1998-04-17,0.474,1.6
1998-04-18,3.504,2.06
1998-04-19,4.508,2.27
1998-04-20,6.142,2.02
1998-04-21,6.346,1.29
1998-04-22,7.542,2.01
1998-04-23,9.604,1.63
1998-04-24,5.592,2.07
1998-04-25,2.633,1.51
1998-04-26,3.083,2.75
1998-04-27,3.596,2.82
1998-04-28,5.537,2.2
1998-04-29,9.217,2.42
1998-04-30,10.6,2.95
1998-05-01,10.688,2.21
1998-05-02,6.512,2.66
1998-05-03,5.983,2.72
1998-05-04,8.575,3.18
1998-05-05,9.504,3.2
1998-05-06,7.703,3.03
1998-05-07,7.412,2.68
1998-05-08,5.892,2.8
1998-05-09,5.817,3.2
1998-05-10,6.837,3.45
1998-05-11,10.062,3.72
1998-05-12,10.479,3.73
1998-05-13,11.45,3.73
1998-05-14,9.625,3.73
1998-05-15,14.358,3.73
1998-05-16,14.817,3.74
1998-05-17,13.775,4.2
1998-05-18,12.917,5.21
1998-05-19,14.71,4.11
1998-05-20,11.117,4.23
1998-05-21,6.125,4.35
1998-05-22,6.517,4.79
1998-05-23,7.971,4.86
1998-05-24,9.804,4.49
1998-05-25,8.1,5.18
1998-05-26,5.679,5.04
1998-05-27,10.1,5.49
1998-05-28,16.304,4.99
1998-05-29,7.9,4.85
1998-05-30,5.471,4.51
1998-05-31,5.779,4.51
1998-06-01,6.387,4.51
1998-06-02,4.733,4.55
1998-06-03,6.642,4.76
1998-06-04,6.013,5.02
1998-06-05,6.292,5.07
1998-06-06,7.0,5.17
1998-06-07,8.278,5.17
1998-06-08,8.979,8.24
1998-06-09,8.379,6.86
1998-06-10,11.304,6.78
1998-06-11,11.658,6.78
1998-06-12,10.05,6.78
1998-06-13,12.775,6.29
1998-06-14,15.0,9.57
1998-06-15,13.6,9.21
1998-06-16,13.029,9.65
1998-06-17,13.921,9.45
1998-06-18,14.621,9.6
1998-06-19,13.7,9.6
1998-06-20,17.787,9.6
1998-06-21,19.208,10.05
1998-06-22,17.325,10.26
1998-06-23,15.487,11.72
1998-06-24,14.408,11.67
1998-06-25,12.625,11.86
1998-06-26,14.788,12.67
1998-06-27,15.871,12.67
1998-06-28,17.958,12.67
1998-06-29,19.158,12.5
1998-06-30,15.4,13.22
1998-07-01,15.404,15.11
1998-07-02,18.954,14.6
1998-07-03,17.508,14.76
1998-07-04,14.735,15.1
1998-07-05,15.879,13.54
1998-07-06,15.367,13.5
1998-07-07,15.675,15.55
1998-07-08,16.908,17.04
1998-07-09,17.175,16.24
1998-07-10,16.278,17.88
1998-07-11,18.048,17.1
1998-07-12,22.162,18.45
1998-07-13,23.475,18.14
1998-07-14,23.729,17.9
1998-07-15,21.296,17.86
1998-07-16,17.475,16.68
1998-07-17,18.108,17.51
1998-07-18,19.496,17.82
1998-07-19,21.05,17.7
1998-07-20,20.929,18.44
1998-07-21,22.048,17.56
1998-07-22,17.639,17.05
1998-07-23,16.496,16.92
1998-07-24,15.446,16.69
1998-07-25,16.879,16.54
1998-07-26,18.625,15.99
1998-07-27,19.15,15.86
1998-07-28,18.77,15.66
1998-07-29,17.904,15.94
1998-07-30,16.5,16.21
1998-07-31,17.804,17.04
1998-08-01,18.983,17.33
1998-08-02,20.204,17.43
1998-08-03,19.775,17.47
1998-08-04,19.504,19.4
1998-08-05,19.788,18.81
1998-08-06,19.713,18.69
1998-08-07,19.837,18.69
1998-08-08,20.425,18.69
1998-08-09,21.354,19.94
1998-08-10,21.5,19.16
1998-08-11,17.679,18.66
1998-08-12,17.946,18.35
1998-08-13,20.037,19.56
1998-08-14,21.783,19.16
1998-08-15,17.879,19.72
1998-08-16,18.158,18.97
1998-08-17,18.438,18.39
1998-08-18,15.133,17.89
1998-08-19,17.067,17.76
1998-08-20,20.508,18.47
1998-08-21,19.125,17.9
1998-08-22,18.625,17.98
1998-08-23,19.329,17.98
1998-08-24,20.175,18.23
1998-08-25,18.733,18.73
1998-08-26,19.821,19.51
1998-08-27,22.025,18.75
1998-08-28,20.75,19.23
1998-08-29,19.879,18.98
1998-08-30,18.674,18.86
1998-08-31,18.73,19.57
1998-09-01,19.009,18.43
1998-09-02,16.364,18.04
1998-09-03,15.763,18.49
1998-09-04,16.821,18.02
1998-09-05,20.971,18.6
1998-09-06,20.325,18.04
1998-09-07,16.896,17.87
1998-09-08,14.346,17.49
1998-09-09,16.422,17.84
1998-09-10,18.388,18.15
1998-09-11,22.283,18.96
1998-09-12,16.737,17.87
1998-09-13,17.058,17.88
1998-09-14,17.687,17.88
1998-09-15,17.088,17.97
1998-09-16,17.133,18.08
1998-09-17,18.271,17.79
1998-09-18,19.15,18.09
1998-09-19,16.417,17.98
1998-09-20,18.642,17.01
1998-09-21,12.719,16.67
1998-09-22,10.904,15.91
1998-09-23,12.95,15.94
1998-09-24,14.75,15.91
1998-09-25,16.579,15.57
1998-09-26,15.642,15.57
1998-09-27,14.612,15.43
1998-09-28,15.204,15.33
1998-09-29,15.333,15.35
1998-09-30,11.883,15.24
1998-10-01,9.646,13.9
1998-10-02,8.787,13.34
1998-10-03,8.888,13.38
1998-10-04,9.479,13.33
1998-10-05,11.642,13.34
1998-10-06,12.371,13.34
1998-10-07,11.967,13.34
1998-10-08,9.367,12.61
1998-10-09,11.208,12.12
1998-10-10,14.058,12.47
1998-10-11,12.371,11.9
1998-10-12,12.383,11.9
1998-10-13,7.442,11.9
1998-10-14,4.583,11.12
1998-10-15,7.213,10.78
1998-10-16,12.646,10.78
1998-10-17,16.175,10.78
1998-10-18,11.617,10.78
1998-10-19,7.796,10.61
1998-10-20,5.883,10.61
1998-10-21,4.358,10.46
1998-10-22,6.85,9.5
1998-10-23,13.108,9.62
1998-10-24,12.933,9.74
1998-10-25,7.358,8.95
1998-10-26,9.933,9.1
1998-10-27,11.476,9.15
1998-10-28,9.671,9.76
1998-10-29,7.371,9.18
1998-10-30,8.637,9.19
1998-10-31,8.85,9.02
1998-11-01,5.9,9.24
1998-11-02,1.775,9.21
1998-11-03,0.696,9.21
1998-11-04,0.717,9.18
1998-11-05,1.154,9.18
1998-11-06,2.896,9.18
1998-11-07,3.558,9.18
1998-11-08,4.096,9.18
1998-11-09,4.558,9.18
1998-11-10,6.913,9.18
1998-11-11,3.662,9.18
1998-11-12,-0.246,9.07
1998-11-13,-0.457,9.07
1998-11-14,3.733,9.07
1998-11-15,1.808,9.07
1998-11-16,1.208,8.86
1998-11-17,1.658,8.86
1998-11-18,1.629,8.86
1998-11-19,4.963,8.86
1998-11-20,-0.3,8.86
1998-11-21,1.367,6.13
1998-11-22,4.846,6.15
1998-11-23,6.483,6.16
1998-11-24,4.033,6.16
1998-11-25,5.858,5.81
1998-11-26,4.2,5.84
1998-11-27,3.538,5.94
1998-11-28,5.8,5.96
1998-11-29,5.179,5.96
1998-11-30,8.221,5.96
1998-12-01,4.362,5.61
1998-12-02,5.162,5.44
1998-12-03,4.862,5.48
1998-12-04,4.979,5.88
1998-12-05,3.954,5.89
1998-12-06,4.121,5.89
1998-12-07,-1.629,5.86
1998-12-08,1.954,5.84
1998-12-09,1.862,5.07
1998-12-10,1.638,5.07
1998-12-11,2.679,5.48
1998-12-12,5.1,5.31
1998-12-13,3.35,5.13
1998-12-14,3.729,4.77
1998-12-15,6.521,5.6
1998-12-16,2.117,5.6
1998-12-17,-2.246,5.52
1998-12-18,-2.258,5.53
1998-12-19,-2.783,5.53
1998-12-20,-6.471,5.53
1998-12-21,-4.771,5.53
1998-12-22,-13.183,5.53
1998-12-23,-9.904,5.53
1998-12-24,-9.42,5.53
1998-12-25,-6.137,5.3
1998-12-26,-7.383,5.3
1998-12-27,-4.6,5.3
1998-12-28,-4.833,5.3
1998-12-29,-7.146,5.11
1998-12-30,-12.329,5.11
1998-12-31,-12.196,5.11
1999-01-01,-14.317,4.99
1999-01-02,-9.083,4.99
1999-01-03,-9.025,4.99
1999-01-04,-10.858,4.99
1999-01-05,-9.329,4.99
1999-01-06,-10.837,4.99
1999-01-07,-12.978,4.87
1999-01-08,-8.704,4.61
1999-01-09,-11.462,4.61
1999-01-10,-12.339,4.61
1999-01-11,-15.025,4.61
1999-01-12,-13.904,4.61
1999-01-13,-15.683,4.61
1999-01-14,-12.2,4.61
1999-01-15,-8.883,4.61
1999-01-16,-1.192,4.62
1999-01-17,1.946,1.47
1999-01-18,1.158,1.69
1999-01-19,-3.117,1.69
1999-01-20,-4.254,1.71
1999-01-21,-4.804,1.65
1999-01-22,-0.858,1.65
1999-01-23,-1.837,1.66
1999-01-24,-5.183,1.49
1999-01-25,-4.054,1.52
1999-01-26,-4.021,1.51
1999-01-27,-1.867,1.51
1999-01-28,-3.862,1.51
1999-01-29,-2.633,1.53
1999-01-30,0.45,1.75
1999-01-31,-0.392,1.85
1999-02-01,0.133,1.26
1999-02-02,0.737,0.88
1999-02-03,1.146,1.14
1999-02-04,-5.562,1.12
1999-02-05,-4.821,1.12
1999-02-06,-2.458,1.14
1999-02-07,-4.454,1.15
1999-02-08,-0.529,1.15
1999-02-09,2.212,1.25
1999-02-10,-0.475,1.26
1999-02-11,3.654,1.26
1999-02-12,-6.383,1.26
1999-02-13,-6.796,0.95
1999-02-14,-0.6,0.95
1999-02-15,1.708,0.95
1999-02-16,-4.212,0.95
1999-02-17,-7.433,0.95
1999-02-18,-7.925,0.97
1999-02-19,-7.158,1.19
1999-02-20,-4.638,0.75
1999-02-21,-5.175,0.53
1999-02-22,-6.008,0.39
1999-02-23,-4.683,0.39
1999-02-24,-3.254,0.41
1999-02-25,-2.158,0.41
